,brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,data_year
1361,Lexus,GX 460 Base,2018,65900,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,True,Yes,34700,2023
1362,Genesis,GV80 2.5T,2022,7523,Gasoline,8-Speed Automatic,Black,Black,False,No,54543,2023
1363,Jaguar,F-PACE 30t R-Sport,2019,34365,Gasoline,Automatic,Yulong,Ebony,False,No,59598,2023
1364,Kia,Sportage S,2021,16949,Gasoline,6-Speed Automatic,Hyper Red,Black,False,Yes,24995,2023
1365,Mercedes-Benz,S-Class S 580 4MATIC,2022,7968,Hybrid,9-Speed A/T,White,White,False,Yes,104999,2023
1366,Porsche,Panamera Base,2018,61000,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,False,Yes,57500,2023
1367,INFINITI,QX80 Base,2018,100564,Gasoline,7-Speed Automatic,Black,Graphite,False,No,23105,2023
1368,Ford,Maverick Lariat,2022,13700,Hybrid,CVT Transmission,Blue,Brown,False,Yes,39500,2023
1369,Kia,Telluride SX,2021,38612,Gasoline,8-Speed Automatic,Ebony Black,Black,False,No,42242,2023
1370,Chevrolet,Colorado Z85,2005,155000,Gasoline,A/T,Blue,Gray,True,Yes,7995,2023
1371,Mercedes-Benz,E-Class E 550,2017,56000,Gasoline,Transmission w/Dual Shift Mode,Gray,White,False,Yes,35750,2023
1372,Land,Rover Range Rover Sport SVR,2022,15107,Gasoline,8-Speed Automatic,Santorini Black Metallic,Ebony,False,No,114900,2023
1373,Toyota,Corolla Hybrid LE,2022,44459,Hybrid,A/T,Silver,Gray,False,Yes,22945,2023
1374,Mercedes-Benz,E-Class E 300 4MATIC,2017,31000,Gasoline,A/T,Blue,White,True,Yes,38000,2023
1375,Mercedes-Benz,SLK-Class SLK 350,2012,44000,Gasoline,Transmission w/Dual Shift Mode,Gray,White,True,Yes,22222,2023
1376,Mercedes-Benz,E-Class E 400 4MATIC,2018,22558,Gasoline,9-Speed Automatic,Black,Black,False,Yes,47645,2023
1377,Jeep,Wrangler X,2003,116157,Gasoline,4-Speed A/T,Beige,Beige,False,Yes,14250,2023
1378,Lincoln,Navigator Premiere,2018,23500,Gasoline,10-Speed A/T,Black,Black,True,Yes,50000,2023
1379,Chevrolet,Corvette Base,2008,28150,Gasoline,Transmission w/Dual Shift Mode,Red,Beige,False,Yes,31000,2023
1380,GMC,Yukon XL Denali,2016,137500,Gasoline,A/T,Black,Black,True,Yes,29500,2023
1381,Mercedes-Benz,Metris Base,2021,2284,Gasoline,9-Speed Automatic,Black,Tan,False,Yes,157500,2023
1382,Land,Rover Range Rover P530 SE LWB 7 Seat,2023,350,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,False,Yes,195000,2023
1383,Ford,Explorer XLT,2017,169000,E85 Flex Fuel,A/T,White,Beige,False,Yes,13000,2023
1384,Ferrari,488 GTB Base,2018,17761,Gasoline,7-Speed Automatic with Auto-Shift,Rosso Corsa,Nero,False,No,243900,2023
1385,Chevrolet,Camaro 2SS,2010,8949,Gasoline,M/T,Yellow,Black,False,Yes,30000,2023
